customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharge,DailyCharge,tenure_group,tenure_segment,ServiceCount
0002-ORFBO,0,Female,0,1,1,9,0,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,7.288888888888888,0-12,0–10 meses,3
0003-MKNFE,0,Male,0,0,0,9,0,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,6.655555555555555,0-12,0–10 meses,2
0004-TLHLJ,1,Male,0,0,0,4,0,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,18.475,0-12,0–10 meses,1
0011-IGKFF,1,Male,1,1,0,13,0,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,7.538461538461538,12-24,11–24 meses,4
0013-EXCHZ,1,Female,1,1,0,3,0,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,27.96666666666667,0-12,0–10 meses,2
0013-MHZWF,0,Female,0,0,1,9,0,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,7.711111111111112,0-12,0–10 meses,3
0013-SMEOE,0,Female,1,1,0,71,0,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,1.5450704225352112,48+,25+ meses,6
0014-BMAQU,0,Male,0,1,0,63,0,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,1.3436507936507938,48+,25+ meses,3
0015-UOCOJ,0,Female,1,0,0,7,0,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,6.885714285714286,0-12,0–10 meses,1
0016-QLJIS,0,Female,0,1,1,65,0,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,1.3915384615384616,48+,25+ meses,7
0017-DINOC,0,Male,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,0.8370370370370371,48+,25+ meses,3
0017-IUDMW,0,Female,0,1,1,72,0,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,1.6222222222222222,48+,25+ meses,7
0018-NYROU,0,Female,0,1,0,5,0,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,13.790000000000001,0-12,0–10 meses,0
0019-EFAEP,0,Female,0,0,0,72,0,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,1.4069444444444443,48+,25+ meses,5
0019-GFNTW,0,Female,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,0.8044642857142856,48+,25+ meses,4
0020-INWCK,0,Female,0,1,1,71,0,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,1.3485915492957747,48+,25+ meses,4
0020-JDNXP,0,Female,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,1.8014705882352942,24-48,25+ meses,5
0021-IKXGC,0,Female,1,0,0,1,0,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,72.1,0-12,0–10 meses,1
0022-TCJCI,1,Male,1,0,0,45,0,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,1.3933333333333333,24-48,25+ meses,3
0023-HGHWL,1,Male,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,25.1,0-12,0–10 meses,0
0023-UYUPN,0,Female,1,1,0,50,0,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306.3,0.504,48+,25+ meses,1
0023-XUOPT,1,Female,0,1,0,13,0,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,7.238461538461538,12-24,11–24 meses,4
0027-KWYKW,0,Female,0,1,1,23,0,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,3.641304347826087,12-24,11–24 meses,2
0030-FNXPP,0,Female,0,0,0,3,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.2,6.616666666666667,0-12,0–10 meses,0
0031-PVLZI,1,Female,0,1,1,4,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.35,5.0875,0-12,0–10 meses,0
0032-PGELS,1,Female,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,30.5,0-12,0–10 meses,1
0036-IHMOT,0,Female,0,1,1,55,0,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,1.8854545454545455,48+,25+ meses,5
0040-HALCW,0,Male,0,1,1,54,0,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.6,0.37777777777777777,48+,25+ meses,0
0042-JVWOJ,0,Male,0,0,0,26,0,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.85,0.7538461538461539,24-48,25+ meses,0
0042-RLHYP,0,Female,0,1,1,69,0,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.9,0.2855072463768116,48+,25+ meses,0
0048-LUMLS,0,Male,0,1,1,37,0,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,2.464864864864865,24-48,25+ meses,2
0048-PIHNL,0,Female,0,1,0,49,0,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.9,0.4173469387755102,48+,25+ meses,0
0052-DCKON,0,Male,0,1,0,66,0,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,1.7545454545454544,48+,25+ meses,7
